date_week,province,total_posts,avg_word_count,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,sadness_std,anger_std,fear_std,surprise_std,neutral_std,dominant_emotion_key,dominant_emotion,dominant_score,positive_index,emotional_intensity,fear_joy_ratio,reliable
2019-W49,甘肃,8,211.375,0.018750000000000003,0.1,0.23124999999999998,0.09375,0.06875,0.4875,0.03720119045714225,0.1336306209562122,0.3104576115533787,0.16995272451899257,0.09977653603356423,0.4793969425970806,neutral,中性,0.4875,0.04310344827586208,0.5125,3.2608695652173907,False
2019-W49,福建,14,232.35714285714286,0.1142857142857143,0.049999999999999996,0.24285714285714285,0.03571428571428571,0.0642857142857143,0.4928571428571429,0.22483204964917824,0.10919284281983377,0.32395224176575,0.06333236937766511,0.1307207408482376,0.3827316507469907,neutral,中性,0.4928571428571429,0.3375527426160338,0.5071428571428571,0.28735632183908044,False
2019-W49,西藏,2,175.0,0.0,0.0,0.375,0.0,0.025,0.6,0.0,0.0,0.5303300858899106,0.0,0.03535533905932738,0.565685424949238,neutral,中性,0.6,0.0,0.4,0.0,False
2019-W49,贵州,4,534.5,0.6000000000000001,0.0,0.0,0.0,0.08750000000000001,0.3125,0.4,0.0,0.0,0.0,0.025,0.425,joy,喜悦,0.6000000000000001,60.00000000000001,0.6875,0.0,False
2019-W49,辽宁,20,349.2,0.058499999999999996,0.019999999999999997,0.39249999999999996,0.001,0.0405,0.4875,0.16614118916404233,0.06958523739384594,0.3229286217368199,0.00447213595499958,0.05951337753197308,0.28785732942772735,neutral,中性,0.4875,0.1381345926800472,0.5125,0.014598540145985404,False
2019-W49,重庆,5,403.8,0.13,0.13,0.51,0.01,0.05600000000000001,0.164,0.21095023109728986,0.19874606914351792,0.20736441353327717,0.0223606797749979,0.043931765272977596,0.1465605676844901,anger,愤怒,0.51,0.19696969696969696,0.836,0.07142857142857142,False
2019-W49,陕西,14,306.42857142857144,0.10714285714285714,0.03928571428571429,0.34285714285714286,0.0071428571428571435,0.05,0.45357142857142857,0.2555966946767316,0.06256864362310538,0.31369825215737723,0.02672612419124244,0.0518874521662771,0.3455565665116793,neutral,中性,0.45357142857142857,0.26833631484794274,0.5464285714285715,0.060975609756097573,False
2019-W49,青海,1,205.0,0.4,0.0,0.0,0.0,0.1,0.5,,,,,,,neutral,中性,0.5,40.0,0.5,0.0,False
2019-W49,香港,4,336.5,0.1125,0.025,0.1,0.0,0.1625,0.6,0.08539125638299666,0.05,0.2,0.0,0.19737865470545018,0.2943920288775949,neutral,中性,0.6,0.8333333333333333,0.4,0.0,False
2019-W49,黑龙江,6,321.3333333333333,0.2916666666666667,0.008333333333333333,0.3,0.0,0.025000000000000005,0.375,0.3105103326246434,0.020412414523193152,0.3286335345030996,0.0,0.041833001326703784,0.309434968935316,neutral,中性,0.375,0.9162303664921466,0.625,0.0,False
